m,k_G,L,E,theta1,theta2,target
2.986470263705553,2.571596069006632,2.7748566044488223,1.8018337879911197,2.26065201694559,1.722215662086396,2.3253669763222566
2.652040490814626,2.7758667364632634,1.386130737327192,2.3728509414279113,2.104252161765339,2.5569001251771244,7.975188399184294
2.6625027433435475,1.583361009109779,2.840694104725829,1.0128938494450241,3.85235251924668,2.9088375720685447,1.0918867203801745
1.9363207161689184,2.8917653633923943,1.2618111597456207,2.8205486465820417,0.7935558430111804,3.8709352709029705,-0.8591677041441103
2.681701874728287,2.2696996577487267,1.3605703212828788,1.8600071698973,3.0366811030185987,0.4345043029980513,-0.16540810152628518
2.947326015086981,1.7483237785540413,1.8232854104064589,1.384100703302263,5.402731197275971,1.739375801553523,-0.3605546736036543
2.7414674372959653,1.065187911138323,2.210166783363082,1.334384746614047,4.8063604340370265,0.6871279042666476,-0.16354666025159648
2.7577496273745234,2.1299666308900926,1.6407842845597025,2.997345548080181,1.8606830508565761,3.277585811029583,2.6879548849242867
1.371653832563546,1.4075494790928627,1.8593255764228522,2.8885910156257,2.733865105751401,0.4046950553123787,-0.5513511917020416
2.6968443564152977,2.3280103362017606,2.160793993430135,2.1938576830518093,1.064999891405324,5.34974593108765,0.48043083301464484
2.317037137293762,1.4881129493497365,2.0175055428824726,1.4564016804927096,2.636626173716894,5.700884480853064,-0.6896175918210307
2.0874128445282993,1.734999045247766,1.6740467658459788,1.7490394409650232,2.3386682315579286,2.8977626026532466,3.0452510365550483
2.5105456199868836,2.9065746066052918,2.0551940493097085,1.8624723429911463,3.2433842052672515,2.5397803861249324,3.466177816125069
2.496822332371933,2.6917482560521133,1.936625645827468,2.430422796810647,2.257048965976331,2.6991154005604896,4.087007298849502
1.877866728625181,1.5947355936872802,2.364989173563621,2.4904930807977697,1.3893247207142472,4.505269423680319,-0.8637634325622056
1.5990131389147344,1.124941709687212,1.3373560441099062,2.331186788540054,2.444835735713411,5.588027353622532,-1.2701871810623113
2.618278156528861,1.3039122707948585,2.8762939955465914,1.5313987291249547,3.5853695884961296,4.234473296856416,1.263084345760823
1.3959240211215629,1.1961795058892215,2.444996612178236,1.972387921006289,1.5186826082335443,3.0818069194192104,0.28698846212745555
2.72518728174977,1.894957996188624,2.402127710802794,2.5880811849169887,4.381015384018184,1.0675713910861604,-0.8800513997603092
2.7000396831762044,1.7891071218729604,1.5556194750846137,2.9908731009401452,0.9402720343075472,5.004394832700274,0.02488650727894235
2.7582659377186376,2.623330237638963,2.1857847383255726,2.655433798970101,0.9051990740760714,1.820845773648808,2.9250804338402814
1.4851609022049752,2.202967064511479,1.2620289661461024,1.5638259380819288,1.712535527853926,2.7317922696198984,3.4539927471218075
2.65037456756993,2.1639130879167996,1.0062065154687123,2.2819536606147244,4.598043147943778,5.087819560147765,11.520440816294487
1.8128290583198496,1.1273765507124804,1.707784031148249,2.005862099982428,1.4978956498954663,1.5397516654411136,2.426835963761602
2.5158548407295056,1.866720132041011,1.8794730304772385,1.9313566898090262,2.825552706021338,4.724541510860366,0.6443231388450137
1.470497377788999,1.9130436838592755,2.953755792228413,1.1569711571769672,5.97581334219728,3.5007638600660487,-0.2299631920379524
2.729047717563178,1.7036750716136928,2.1058092907542987,2.81400294081919,1.7155270098728979,3.3412110493365574,0.9312926287777112
2.8405383910348356,2.0654717197461667,2.0623357066031023,1.005559194802554,0.3939034967662165,0.8116931966405128,3.0261295467553446
2.843603301650311,2.4206690593802267,1.7084186715519905,1.2360552119724169,5.657169962769719,2.359135734234635,-0.4303422322550916
1.6859252286414592,1.4653360794432284,2.8198092778365016,1.120103864241307,0.2706692897035503,1.9749292099660363,0.2100980590253926
2.5199871219159546,2.835882735589535,1.7742491062914052,1.4388878418098228,0.09684197294358077,4.8836960349630125,2.4733273411121615
1.142977581565263,2.220578167860284,1.6158985468219227,2.8709988774535713,0.9509493825799591,2.4471178239487843,1.1106736448814019
1.6473908260242023,2.2145972265157265,2.5118986474057223,2.935596977399728,2.7798597647102765,0.8473157778070668,0.09460475286155434
2.3831351257757047,1.8077375228469783,1.6896650992733544,2.96335966237453,0.6299508604153699,5.702811426451321,2.4570044487809555
