d,alpha,theta1,theta2,target
2.7741716774137695,2.9905800617583247,4.925521669896294,4.942021852406679,-5.522774225710009
1.2809969507467536,2.172203448574944,4.219059178207604,4.345246281337493,-1.5098092956337072
2.3296444049175022,2.243078950165672,4.353965545691926,4.486630498201636,-2.9136398703341317
1.1127152428052618,2.863287308900837,4.851674784521154,4.956840248006024,-2.081832706321522
1.833111022570118,3.3338915951235126,4.607812396267641,4.851164255716684,-4.3775013886203915
1.1956823215020504,3.8048644560600557,4.00235596456464,4.835718609479936,-4.528554170911667
2.1913564171683255,3.4256267158257656,4.604055443830756,4.599361977969682,-5.315457986518358
1.210922503527153,2.1639065555352697,4.253039718206402,4.609235085298143,-1.4726208156458511
1.718324332964736,2.708192339844236,4.196562187516301,4.607490112990556,-3.1252409493649775
2.6724634988156106,2.285129917853583,4.64041614015907,4.292234335047018,-3.5840601335766915
1.0038859936063864,3.2811916458412376,4.456111029485269,4.991399491463431,-2.565043601161267
2.8186930279806015,2.4749000657345794,4.95385094333528,4.550822103486655,-4.40888419385471
1.2335879891817016,3.37187685213941,4.3834610425429155,4.284071503183243,-2.937098134070127
1.861795758834117,3.052233024674541,4.7018535952648435,4.912746089881536,-3.8856831734584207
2.9969103171844607,2.3280640240089885,4.521137511062386,4.608055928030669,-3.9906269299344648
1.5994369986483614,3.4795829716137865,4.343677251321054,4.327882674578868,-3.966321031904367
2.6285861496129717,2.311713538834741,4.935139814388947,4.966146412072751,-3.449109302322357
2.9176716247546013,2.1455032475648723,4.04910722176915,4.268657959750878,-3.397835775097381
1.7058409547250155,2.594058719817385,4.221253066998371,4.256316152676312,-2.720417505937193
1.1023713422294954,2.0323050385658803,4.87693766264104,4.9417833089149665,-1.1395887444331432
2.6995819339349896,3.0653364500532168,4.78468220354027,4.877276197209367,-5.59361252191768
2.491570578154467,3.103310132117186,4.346357895797811,4.176269249394642,-5.298369419041163
2.5062872781734296,3.139495240067699,4.415805118942131,4.939229279536556,-5.9682236000280335
1.2115135764991376,3.659413134153909,4.212587973863293,4.907939367751508,-3.940423407305711
1.9292024549766407,3.575054423509926,4.483257988486346,4.935445194968634,-5.391217026937797
1.0558204845139831,3.8796749816216938,4.887438904750839,4.954458709150338,-3.0458564374528847
1.7133321479803367,3.1351969469135854,4.821307895202358,4.339300251294442,-4.004190379716612
1.1428656256187013,2.6699797972217008,4.999488971906149,4.326145545557395,-2.2688232991227513
1.616839618120616,3.7735617396927656,4.775467303300512,4.010609975244218,-5.7505098856829395
1.4793462014443444,3.469404502492261,4.985733082811018,4.923988410881012,-3.6585159642488723
1.794514737237583,3.4132062468268325,4.160305019636489,4.167084137529827,-4.330611135191797
2.3130956083017216,3.465367412597682,4.479064185335077,4.713010313959176,-5.825789760303062
1.9087017606001422,3.266830959170181,4.379764037555493,4.388978528041978,-4.326844880573778
1.1412894626123282,3.8034364768144933,4.8424142838352475,4.091222323071573,-4.065979382592124
2.362568511394765,2.3093682618298015,4.755839594228572,4.304349150582346,-3.326041862941564
2.6119005458356774,2.730497851815094,4.37905948042606,4.43512733870574,-4.525092875925226
2.036184034531212,3.2723780882696367,4.7290264120308105,4.157291123971494,-5.268782554691162
1.7203082733270338,3.224529503130529,4.487693160841785,4.033569854804853,-4.147756260040902
1.4289171617640655,3.5215356283461263,4.5087119874522195,4.635203021183649,-3.6256255507386275
2.0130930723109848,3.534567009576831,4.224570301622419,4.0103831483203605,-5.194846398878703
1.831269176856673,3.221984608717142,4.303659624610786,4.86436068493206,-4.607434210854901
2.9809195448988453,3.6799782416055926,4.352252792668805,4.124779946689025,-8.153967570277098
2.3065856493484507,2.4191824100958073,4.5791917762464704,4.912590513237118,-3.406169772032484
2.1119138744072554,3.9807894521563307,4.3610060374155015,4.542515995597725,-6.378922876183693
2.7811895977521317,3.7286847327455632,4.660734495986049,4.271914085098371,-8.063596278514403
2.583077087972881,2.8206150843268603,4.176251253136922,4.964746622176905,-6.012653342496786
2.5306973595629434,3.0225239157230743,4.108467566951026,4.986102503666213,-7.0237807142302735
2.0534749662474656,2.6101236275510926,4.484872219523524,4.301581917194638,-3.3468818812583803
1.5431138088981662,3.6380861312043162,4.67204724008424,4.0136681861805075,-4.869167419240575
2.782438568813787,3.1333297058850365,4.565794233264022,4.224474462263817,-6.207303692856854
2.9330651798669054,3.7109392869834656,4.041284911557249,4.887383998827561,-10.826077199387006
1.4094439555227063,3.134020297842146,4.576457947173558,4.676735989462581,-3.019280754645914
1.9806466473710753,3.503867031062508,4.621697383875457,4.932105463646472,-5.150781347685519
2.4159449348158617,2.793396288516922,4.220631907197184,4.930561277554402,-5.270369336427313
2.6799390361341877,3.465525665453063,4.935567816249173,4.7882656065319695,-6.663459946150866
2.834838106410475,2.582404736085537,4.034939422515944,4.237115406596077,-4.552706194382963
1.1641608619720427,3.879505599402866,4.488120491222539,4.471442610545068,-3.352578419445316
1.3488218724422756,2.818558087660192,4.327396072578735,4.597462593868751,-2.5203415598199452
2.2309272077785414,2.9908184752293234,4.467099982093164,4.3552523983251294,-4.462266662537052
1.7996378297897415,2.4619182597213056,4.6464309376398365,4.320766054178373,-2.733083144228424
1.0805422318762408,2.005908823718147,4.427800832340747,4.918110620877046,-1.179671797035951
2.2023668162710974,3.168380229973207,4.895951094440978,4.787625797094913,-4.796940377329023
1.7317951599652175,3.9700686056508063,4.0311325273780065,4.421049751445765,-5.471612868262241
2.7764400262438578,3.7646638702868063,4.876551094498054,4.3353864201565235,-8.652837723097901
1.7082644085900904,2.7651168385379306,4.745694999809341,4.820785637665004,-3.021539450574788
1.8599779086438348,3.3117218398945343,4.029588422027349,4.064514716652041,-4.301766579996894
1.5806766336212423,2.6281086179694944,4.9298813982560095,4.44262233572058,-2.810442069148497
2.7735110881008267,3.6880037801126386,4.791576072629052,4.846828709771062,-7.464169163918853
2.401559003697074,3.3003412988258765,4.781085615581784,4.043255160084955,-6.902000668801437
1.836366355633936,3.6699674893536556,4.8624550381036356,4.83291833867581,-4.904719689484693
1.4772464324104049,3.14851493121217,4.15253405238847,4.034216388506014,-3.1908168158127435
2.909683473919016,3.2673986086594673,4.863114828755435,4.045735674295251,-8.701951064139369
1.3815202952486885,2.5851497405500554,4.113323357117521,4.078396141600517,-2.1908800355041116
1.9485893622148514,2.240867996294752,4.161322988633214,4.078144832863864,-2.423736176924596
2.4063534477606936,3.01060259049605,4.28061431360389,4.387858810765214,-4.859176564566005
1.6898338278244804,2.4385876194566203,4.389016215648376,4.25138896708525,-2.447385737583832
1.7658536664806093,2.229242628740013,4.0020308692419775,4.136135725439647,-2.1842006884252507
1.9492425340783042,2.7451755981399697,4.706282417710647,4.128882803441193,-3.860509975597362
2.837595551362708,3.677252433910434,4.798806574511159,4.823949353345965,-7.598847822705664
