m,E,U,L,r,target
1.5770141884527027,10.238710455517952,1.4570861974405982,1.2244012978874217,1.2115644385845319,3.2751130426633077
1.9678720829523244,10.169569742103421,1.3664048728309535,1.6311045180719923,2.6315084735749688,2.974504359758593
2.0204167899902097,8.895544823369088,2.8458661926699174,1.6330756026164481,2.6153673109628923,2.4275567111033105
2.1866174119061137,10.7881123350457,2.811220941768692,2.5242494324223843,2.652609412190105,2.665840380464016
2.2314177400686415,8.203012615475831,1.7439774792010057,2.055107221404029,2.239897728599221,2.3706775890484697
1.1676327475526809,10.94795312770569,2.060153215976406,1.0836216486280843,1.3578608874212372,3.84141876481246
1.1153610944067824,9.398636617016285,2.9838665635764325,1.2067024420049777,1.771253737177674,3.336091099106605
1.39573498211373,8.30534465103694,2.8520986674632756,2.2198731305345607,2.771386606289199,2.7358377004430285
2.2851515278864287,9.124675013667353,1.8776685143334215,1.3614319513838102,2.43488336662785,2.5065559660928063
2.8945506566056487,9.466982991061041,1.4335689933259808,2.832905823982594,1.2879336510284587,2.230081832633305
1.0312267045541461,10.127229161508314,1.6176522139689624,2.089501784795731,2.0330711916921853,3.9383389929885873
2.38099799456311,8.13184071481396,2.1254772315113666,1.7850676731116102,2.7190731678101017,2.229175829644983
1.3046589028700317,8.149017159581451,1.0713465106452693,1.392305087202993,2.6673799074673763,3.269521755544989
1.8185404595117425,10.395392995957508,2.3093953513574155,2.553419158526894,2.2488397252305523,2.9159917464125473
2.4215715661903268,10.242166130816752,1.8970977597061824,2.3005597605400236,2.6749870033522436,2.6011808328349746
1.9136257584442573,8.753174561004172,1.960563613110298,2.883185059393578,1.0914838835312946,2.27898231763562
1.0214269258884268,10.755591677874511,1.764827735353914,1.1910343809519437,1.8342795487000592,4.147313381092064
1.7456326090092216,10.738590848115873,2.8132005451772075,2.0975822459280504,1.3950592758469136,2.887619661412741
1.5977605559848875,10.712551210021916,1.5066380529383916,1.2795624637091823,1.7030488329771214,3.3619029625298786
2.1844775373125405,11.909759198961947,1.9302723751320658,1.3777722364205474,1.2168061181934635,2.9779284448215884
2.7841998544409368,9.76745779540073,1.8589772994621139,1.4413327927597703,1.1479429447106269,2.3404276834248146
2.2198829072269177,8.85207843833588,1.9953959015161427,1.4181660298479517,2.856577923986624,2.475379187239576
1.6451241585294032,11.673226132852372,2.7853962745623893,1.0354779210895606,2.444634230325776,3.277005544746416
1.3980486363118798,9.853215004396013,1.077500352209283,2.57116603279633,1.8781085792618648,3.4051918527558236
1.084225777235767,10.849157705717188,2.0770255790884864,2.168912307699398,1.719428176388136,3.8506906710292825
1.701361916824756,10.627166521513173,2.4802472542418537,1.562153554866744,1.26780176804089,3.0087258953064664
2.8998639370502968,9.209468778574983,1.072001887736346,2.0194190351631067,2.0946549367973617,2.345587636440732
1.9852399575533055,8.32327458132388,2.466194777319001,2.5436803131946064,1.3659180895152507,2.2406903630760295
2.396706889077352,8.15740909948182,1.41329382354778,2.9195202132225453,1.0851984320375783,2.0899296130547054
2.012487118382777,8.969417640546311,1.2413794550235506,2.2486095406729234,1.060958508074781,2.5633964720836175
1.6841501970177155,8.053506539331687,2.192958697048994,1.5571947443105683,2.7024250180546403,2.615834015931267
1.2878133987733045,8.081257595965914,1.1314705574556918,1.0808869145687088,2.8234956930552966,3.2718180630463016
