gen,nevals,best,mean,median,worst,size,div
0,1000,-247401.49075385966,-268485.40749005455,-268211.936669301,-291585.0532159052,26.027,0.1839701080390736
1,816,-241657.95737998592,-262883.4819750535,-263599.7180313096,-280371.2276119878,25.734,0.19565344654999828
2,834,-238782.0129356213,-258133.05917687964,-258455.35715440323,-275419.0441899651,24.993,0.22217424320872597
3,852,-234665.6918968657,-253585.93865704976,-253968.86139019305,-270491.79053590377,24.254,0.24147057402229816
4,841,-225806.5760940781,-248911.7624051998,-249757.89114209425,-275768.48254469206,23.412,0.2585418521970247
5,870,-219389.0194433901,-244078.05449627643,-243794.42184962876,-271679.1591707652,22.604,0.26470649960305126
6,824,-212634.03214399368,-239111.37110914665,-239441.09259262608,-265651.58315786865,21.877,0.2610154292223258
7,850,-195728.33078534523,-234045.00065902303,-234226.36869928567,-257754.57933063287,20.959,0.2639344862103482
8,838,-195667.58330323623,-228603.14279486705,-229104.29010983743,-251924.5999320681,20.047,0.26006330468399436
9,841,-195658.63260645038,-223460.25170713288,-224245.83531106857,-250042.80876013034,19.195,0.24930993062027546
10,830,-188184.11819401968,-218213.7332925474,-219197.66563705637,-245879.01918265337,18.286,0.24238376307341822
11,858,-168543.38291593743,-212421.4101876204,-212736.95890713762,-243012.56259905046,17.338,0.2332161126643885
12,845,-177689.05027544644,-206221.15123296136,-207424.5011157672,-242734.35937201921,16.38,0.2178811915363639
13,837,-170958.60073740524,-200422.69610034468,-202064.20567575458,-237707.9858730952,15.358,0.2024191087639364
14,853,-170952.94872221327,-194281.85429322487,-195692.31506597417,-233144.356845237,14.412,0.1812897034966001
15,829,-165692.3384570186,-187010.11395210773,-187926.24413162467,-235509.97741556444,13.219,0.16111221566393982
16,854,-165692.3384570186,-181247.0549176079,-180586.49540436635,-221259.290919063,12.539,0.13852977115046083
17,842,-162264.5782252817,-176480.6255334572,-177282.30679874736,-234605.96315610624,11.935,0.12452859756308032
18,833,-158116.81417040795,-172037.1082228164,-170946.22927918963,-224463.08349385313,11.455,0.1099577508543026
19,847,-157903.87088513825,-169682.43330429154,-168604.8707641993,-231318.45050951766,10.863,0.11637354595975288
20,850,-152437.01777986527,-167272.32217125245,-165818.456373912,-220159.25162145248,10.139,0.12803182492837664
21,858,-144960.0459928866,-165595.60222663995,-162424.1458738404,-220119.70512338376,9.443,0.14145448897173038
22,875,-134503.67109763762,-163489.34802711674,-162274.21288788735,-221381.3197259314,8.767,0.1486814400607504
23,823,-134483.81165684553,-160455.8466270691,-158100.54167899513,-222803.6113584021,8.078,0.15199406302854573
24,837,-134392.26616689915,-156685.79531275673,-152623.62362208782,-218335.70383777036,7.346,0.1495824099962031
25,843,-118318.660073409,-151366.0701230963,-152380.85506290273,-226100.46605281282,6.638,0.13639142590866726
26,857,-90423.01037978227,-146112.89289934403,-144960.0459928866,-233794.34274695808,5.982,0.12626737081909495
27,783,-90423.01037978227,-140707.20244672097,-134644.87232670895,-225943.38302261647,5.45,0.12079417348382866
28,834,-90423.01037978227,-133605.16125578893,-134410.8611353431,-222693.1574824978,4.88,0.11430092161126644
29,833,77192.31117482396,-125014.99923294084,-118459.28122300749,-261808.88469517438,4.348,0.1006624555590073
30,844,77192.31117482396,-111555.95727019059,-118336.69462518972,-245837.91999199043,3.842,0.08104891097994545
31,871,77192.31117482396,-97426.21356179113,-90576.78731005974,-266268.76679365686,3.47,0.06488198543370954
32,851,77192.31117482396,-70935.3529787655,-90423.01037978227,-290662.5158640307,3.051,0.04740430085257672
33,842,77192.31117482396,-31669.94407338368,-90423.01037978227,-239066.3954171878,2.724,0.03937910324117221
34,853,77192.31117482396,-inf,77192.31117482396,-inf,2.385,0.02888854371612992
35,836,77192.31117482396,44111.28367654031,77192.31117482396,-294778.0359471401,2.21,0.01882351316834076
36,831,77192.31117482396,53946.03189587829,77192.31117482396,-295843.4766560622,2.143,0.011722964343653998
37,840,77192.31117482396,50121.02986173137,77192.31117482396,-262351.0853216976,2.189,0.014580028304166241
38,822,77192.31117482396,52418.270547636406,77192.31117482396,-245703.49206072924,2.163,0.013497566532049296
39,858,77192.31117482396,-inf,77192.31117482396,-inf,2.162,0.013017983500742118
40,825,77192.31117482396,49770.739212954286,77192.31117482396,-252483.73855243073,2.202,0.015058092575333956
41,837,77192.31117482396,52871.140468566366,77192.31117482396,-254843.01874465472,2.174,0.013016050533291914
42,858,77192.31117482396,51548.685980439484,77192.31117482396,-262177.3279642202,2.161,0.013764868316592457
43,827,77192.31117482396,54514.182878756255,77192.31117482396,-294778.0359471401,2.146,0.011657726692209455
44,831,77192.31117482396,52265.1594137364,77192.31117482396,-245582.31612314764,2.181,0.013767629698664177
45,856,77192.31117482396,-inf,77192.31117482396,-inf,2.146,0.011521728625176898
46,851,77192.31117482396,51700.4322169554,77192.31117482396,-252442.86726660826,2.168,0.013018673846260053
47,827,77192.31117482396,55399.233969457855,77192.31117482396,-251722.57644596085,2.147,0.012814676745711231
48,846,77192.31117482396,50943.48744311988,77192.31117482396,-232442.86726660826,2.185,0.014582651617134375
49,831,77192.31117482396,49147.03218573512,77192.31117482396,-294778.0359471401,2.193,0.015399054226640433
50,829,77192.31117482396,53009.23394002883,77192.31117482396,-262791.87308665103,2.166,0.013698249974112042
51,848,77192.31117482396,52629.35273239801,77192.31117482396,-235591.50449570792,2.165,0.013633426529978258
52,827,77192.31117482396,51714.70389118892,77192.31117482396,-294778.0359471401,2.179,0.013770943357150255
53,869,77192.31117482396,49944.63630549204,77192.31117482396,-255301.3529489021,2.179,0.01444416830623727
54,840,77192.31117482396,50695.36711662776,77192.31117482396,-260296.08551290375,2.186,0.013832177004590794
55,839,77192.31117482396,51396.366985287714,77192.31117482396,-278770.89834794466,2.175,0.013633426529978251
56,851,77192.31117482396,49145.39802138204,77192.31117482396,-272640.2286847015,2.186,0.015603603603603603
57,806,77192.31117482396,50822.42940419052,77192.31117482396,-228937.83634650262,2.174,0.014104725415070242
58,822,77192.31117482396,48766.17140364674,77192.31117482396,-244899.59779088202,2.18,0.015049256152704431
59,822,77192.31117482396,54702.60211835415,77192.31117482396,-243961.63045911308,2.145,0.011592765178972083
60,835,77192.31117482396,51435.51323343149,77192.31117482396,-251519.26784244578,2.157,0.013361430395913152
61,822,77192.31117482396,48442.53632738896,77192.31117482396,-275036.8661007386,2.195,0.015254910082496288
62,839,77192.31117482396,53061.99367938644,77192.31117482396,-244156.179867369,2.156,0.012342273307790547
63,823,77192.31117482396,49103.08941287766,77192.31117482396,-243862.17123125988,2.204,0.01573739256497877
64,839,77192.31117482396,51858.21091761622,77192.31117482396,-245644.9019340213,2.164,0.013429981705843775
65,856,77192.31117482396,53286.791014868526,77192.31117482396,-318389.8169611868,2.16,0.013017569293431364
66,860,77192.31117482396,49513.81341324976,77192.31117482396,-294778.0359471401,2.191,0.01485809947878913
67,872,77192.31117482396,56319.69262238394,77192.31117482396,-257500.6779662126,2.147,0.011451520486003243
68,830,77192.31117482396,49084.673312333216,77192.31117482396,-287816.93746747926,2.205,0.016346898622760692
69,830,77192.31117482396,-inf,77192.31117482396,-inf,2.165,0.01349811880846364
70,820,77192.31117482396,50265.72958440626,77192.31117482396,-263364.53251528344,2.175,0.01417617617617618
71,833,77192.31117482396,52915.7322051301,77192.31117482396,-273440.16688898305,2.164,0.012747229988609301
72,850,77192.31117482396,49741.511368621796,77192.31117482396,-243666.42985288487,2.188,0.0154620827724276
73,832,77192.31117482396,50691.030850259,77192.31117482396,-243937.82850009736,2.177,0.014991888440164308
74,825,77192.31117482396,51275.434151308116,77192.31117482396,-257602.98881273836,2.178,0.013977839908874391
75,853,77192.31117482396,50627.535457951264,77192.31117482396,-243762.63282748553,2.192,0.015327189258223742
76,836,77192.31117482396,51563.26269990507,77192.31117482396,-259858.2973147978,2.184,0.013698388043215633
77,846,77192.31117482396,49496.93424228025,77192.31117482396,-257911.51656949174,2.187,0.015532014773394082
78,828,77192.31117482396,53315.38240806032,77192.31117482396,-262062.7442355851,2.182,0.013158813986400193
79,848,77192.31117482396,51450.56896545789,77192.31117482396,-266624.10145609017,2.174,0.01396858927893411
80,831,77192.31117482396,52164.56115871318,77192.31117482396,-270800.521543583,2.171,0.013768458113285698
81,845,77192.31117482396,52766.016882809505,77192.31117482396,-226729.90980694655,2.167,0.013222394808601703
82,850,77192.31117482396,49678.26071435428,77192.31117482396,-232373.4653979233,2.182,0.013425425425425425
83,824,77192.31117482396,50192.723574705975,77192.31117482396,-252384.99855994913,2.191,0.014996168582375478
84,847,77192.31117482396,51208.60445016753,77192.31117482396,-277322.5530548295,2.186,0.015064029546788161
85,844,77192.31117482396,52039.68981371702,77192.31117482396,-260679.9784570651,2.165,0.013493424458941701
86,845,77192.31117482396,49614.730467009926,77192.31117482396,-291781.41492377693,2.18,0.014786372579476029
87,832,77192.31117482396,49639.471801486405,77192.31117482396,-262288.0843751661,2.192,0.014514514514514507
88,800,77192.31117482396,52170.27031437613,77192.31117482396,-248877.15619656912,2.17,0.013833281557419488
89,856,77192.31117482396,52768.488164033784,77192.31117482396,-244632.09276740652,2.166,0.012610679645162402
90,857,77192.31117482396,46784.189848077214,77192.31117482396,-245486.05832728266,2.217,0.017020813917365638
91,850,77192.31117482396,55026.74617897408,77192.31117482396,-244632.09276740652,2.138,0.011251113182147663
92,830,77192.31117482396,52609.70403617313,77192.31117482396,-243852.12150016095,2.164,0.013421973697835769
93,863,77192.31117482396,56448.96911144787,77192.31117482396,-271470.01294387056,2.136,0.011111939525732632
94,880,77192.31117482396,51505.876774353186,77192.31117482396,-271893.876909153,2.171,0.013354112733423077
95,848,77192.31117482396,47902.40684075486,77192.31117482396,-253267.9865456449,2.211,0.015257119188153674
96,844,77192.31117482396,52063.13163212058,77192.31117482396,-252061.59852462268,2.156,0.013160194677436053
97,869,77192.31117482396,52467.68809503159,77192.31117482396,-294778.0359471401,2.152,0.013013151082116595
98,853,77192.31117482396,50831.88568056337,77192.31117482396,-244410.15240500795,2.201,0.014584584584584585
99,839,77192.31117482396,50720.06864226065,77192.31117482396,-262626.9774924057,2.165,0.013761140450795626
100,811,77192.31117482396,52595.4714036998,77192.31117482396,-294778.0359471401,2.155,0.012813986400193298
