gen,nevals,best,mean,median,worst,size,div
0,1000,4390.572305136349,3773.270501882985,3760.6022475499444,3243.747922941354,26.027,0.1839701080390736
1,816,4578.680519254535,3906.087670065124,3883.9772680935284,3502.0373184119867,25.698,0.1973249111180146
2,834,4686.29268993892,4028.5150964222844,3995.7871235414777,3552.174222180005,24.918,0.22721328224776502
3,852,4838.817782081074,4172.366864311053,4144.425778163473,3665.434175238732,23.838,0.2609054571813193
4,841,5513.612037738071,4332.241207125688,4317.583042873175,3751.1089647291406,22.703,0.28163176970073533
5,870,5719.3342840058385,4509.727023042939,4497.942101408471,3926.129228715784,21.565,0.2893264989127058
6,824,5792.996066760219,4694.803925746811,4660.478149570623,4031.1856453697023,20.453,0.2927352870111492
7,850,6363.732182772057,4908.21740035864,4848.636192784083,4193.1862405596685,19.373,0.291926892409651
8,838,6893.910025112098,5131.705279060396,5089.0801424570345,4332.935762535924,18.317,0.2872428980704841
9,841,7061.581877363252,5368.242064264385,5351.08404194722,4023.528797865472,17.289,0.28083331607469525
10,830,7864.481277876484,5627.99252402001,5568.630997182957,4217.541059203042,16.343,0.26938117427772607
11,858,7952.421986293732,5935.146355392188,5870.957395633584,4464.3800395803555,15.32,0.26362555659107373
12,845,9042.088360720463,6295.772231001403,6180.3406875230585,4738.155651039083,14.273,0.2630254392323358
13,837,13876.698476413037,6697.366117611044,6559.624835662993,4512.665112160778,13.39,0.26118352835594216
14,853,14085.365079114017,7240.083536206623,7034.024486858195,5384.295322690725,12.499,0.24576514445479963
15,829,22929.039035066737,8046.901061444188,7707.709777132917,5291.4216810881435,11.69,0.2243353698526112
16,854,22929.039035066737,9303.144085292903,8714.896484041874,5819.973374072208,10.777,0.20667018742880813
17,842,87259.59613442598,11303.36403606506,10242.7596835303,6118.756014027363,9.991,0.17857892375133744
18,833,93890.1722750394,14661.447283063595,12875.508390063018,5890.685199027374,9.29,0.1547431569500535
19,847,93890.1722750394,19822.17520153371,14056.791615656695,0.0,8.62,0.13234144489316904
20,850,136462.26130506737,30100.25438595401,21655.891970767774,40.959356337679,8.033,0.10844934589762173
21,858,136462.26130506737,43399.877359302,22929.039035066737,40.959356337679,7.631,0.09387504746125432
22,875,136462.26130506737,59249.928578310086,85015.42037489213,0.0,7.256,0.08323647785716749
23,823,139384.73537437568,73828.94260858624,87259.59613442598,0.0,7.011,0.07357488523005762
24,837,139384.73537437568,80915.50956996072,93890.1722750394,0.0,6.901,0.07049401125263191
25,843,139384.73537437568,92555.09495815393,93890.1722750394,0.0,6.609,0.06930785958372165
26,857,139384.73537437568,103552.05739881398,125268.01385703811,0.0,6.199,0.0759070104587346
27,783,139384.73537437568,116665.26926636985,136462.26130506737,0.0,5.877,0.06448358703531117
