m,E,U,L,r,target
2.253066040494998,11.55844784483366,1.6420676380273986,2.4683006199386446,1.6939362197383458,2.8955651490434775
1.0791577307448508,8.90278992590533,2.8186218626529476,2.3430677067394012,2.115743206237976,3.197289664844983
2.569078152382029,11.340699022456743,2.617803511925538,1.0191211702395215,1.9352329859604114,2.5978190454159593
2.8335127101323003,11.014122876462071,1.8202121176008668,1.3484451112208349,1.4039809904219744,2.524780281063832
2.7567428615335974,10.309031455039918,1.1714057743903592,1.861228838950871,2.9089705561295753,2.5642588730425175
2.7430697446635595,11.198463215595273,2.858555872240262,2.4496163910736914,1.404615497622258,2.3825407984278586
2.630879021113487,8.08755178491608,2.411346963636167,1.6538015303917937,2.397251212862643,2.0606559692883906
2.561373818235452,9.42280725883635,1.7031502815304997,1.1150051512383297,2.958326588744299,2.450733433256671
1.1222990614985011,10.593632780419643,1.1488472330442612,2.3530268600688418,1.0991334987875017,3.6321518675368316
2.773678488863662,8.482935189052078,1.8703812845146053,1.5534010744318294,2.4338500332719164,2.171433881688007
1.2954687262310973,8.321880529886412,2.5870086394836376,2.9670938822633026,1.494050585282322,2.5502323339195763
1.0614353422116907,9.92235907583462,1.229038215930712,2.9093553266741448,2.741088984526357,3.921785736530355
1.5133727431102928,9.156926310139685,2.9874293742628137,1.5523926667739947,1.330269622935331,2.7493086653118537
2.438938381878663,9.774480376905125,2.976659362110529,1.140790063009148,1.102065715861259,2.322558108583997
2.5104376524845264,9.760519949905017,1.2699048639762698,1.9479271186058926,2.70609410849109,2.58496307073716
1.1981963850558515,10.609335764553292,1.3590495481420701,1.7464132838495756,1.2893874086166517,3.763313206046505
2.4453784312733395,8.425513721238916,2.9265668558345395,1.9098128418736122,1.1530791747705416,2.0096455135683473
1.4925150790522028,8.957209110122427,1.6599374984630988,1.631599882164778,1.3018247476142326,3.012197576761126
2.5397828074033333,9.31710244550061,1.3768076360066233,2.9667865828896196,1.5014216947989216,2.3764323162244896
1.020364113182213,11.45971123233737,1.5140369111609326,2.4597279599573323,2.931637349858845,4.337996406091139
2.897575847428146,8.281798551418408,2.1506464109159773,2.375954557721086,1.546774158978465,1.987684135326593
