epsilon,E,L,m,Z1,Z2,q,target
2.83995188911035,1.9256673980397745,2.60560159531394,2.1840370281665837,2.551788555433464,2.9704799703808975,1.06673289830844,1.515865477899942
1.4183110472185883,2.3678020286503543,1.4112764626733778,2.2969775296634536,2.9762758039022605,1.88597504855652,1.818787674621477,1.0119077988156135
2.068697203826224,1.1860494866112676,2.230216099848912,1.8319399647922088,2.3624408080173254,1.327499523226849,1.8975768433251496,1.1027842326120105
2.496658451373788,1.6781366214077438,2.0797186475291265,1.5762824413994436,2.103133185294608,1.6647337874508792,1.2428413791982087,1.7212637670448308
2.2387828134604515,2.4759690244497827,1.7304381868079988,1.137560679414823,2.990195090973156,2.3028893209508086,1.3370647978376198,1.1962874614942907
1.7813879059799722,1.9066918691885588,2.3762444147754787,2.504109508940703,2.700914931465435,1.870004717774987,2.7280668900595137,1.0096098670860705
1.0559694808839521,1.804817397607166,2.861291609765349,2.545641477589763,2.3237372796729674,1.6347445134030734,1.972771118473964,1.0291870556408251
1.1982385060313359,1.069605306976703,2.832428762254531,1.714524060908582,2.3013710088847397,1.2191247743363218,2.8504105113913294,1.0137345062357532
2.9668619585692766,1.8692324252487602,1.5035869466067673,2.9375204681576923,1.0337334490454892,2.990027446809202,1.0968518820435282,1.6827034264810097
2.9001199454610305,2.566039045243704,1.819546622204339,1.9103129419835545,2.8210511276482375,2.691584749564017,2.806015445364239,1.0104103197350671
1.8231066409710317,1.230890349147625,2.133728933338646,1.8802082864607468,1.9226510343032934,2.8481642745725755,1.797124432299121,1.031185510191755
1.5954578539598792,1.0702214303413191,2.2948053951068523,2.3516076264689363,2.8264216091611294,1.533922008382331,2.5083515910215093,1.008165215400181
2.6848214957622965,2.4482424564423213,1.3145456571238734,1.1592946354802414,2.390685700456806,2.7330038406224983,1.953801244178888,1.0414277908243794
2.342870021437864,2.6229743152927463,2.2158830370154465,1.9344883304089497,2.4371946027399805,2.349706936486469,2.6788148394677886,1.0214099171235664
1.2794475113248314,2.5974887700760085,1.2475769043124387,2.1494715245727094,2.6950365387363213,2.1891018638935424,2.741271396325965,1.0015652813999445
1.6463197259157014,1.130095312810211,1.9712775570415806,2.316431727349228,1.2466391818191291,1.61821831881348,1.0719262754990788,1.70664687939836
2.276319043039747,2.8279426544223583,1.8325713830875219,1.3928520210019881,2.1209537883036136,2.833988791582905,1.7144913686263645,1.1074076574453888
2.9448554152512614,2.62211023356187,2.393402448181921,2.215546607341279,1.8304941544992084,1.7283932521620853,1.666851247533746,1.588009569349468
1.5263860284067499,2.4085860372518746,2.0977463575733317,1.2619979289232315,2.428797734700603,2.6582744180488516,1.168461239839204,1.2262339923014138
1.0160197276802347,1.9304777306582428,2.79464444751088,2.405007073913616,2.819983583757757,1.4335690666324998,2.1435407143434366,1.0185836805161281
1.1554479274708456,2.2855511120081333,2.758400205997682,2.9852905658350894,1.9664311299178965,2.4558416023286687,2.3039986763367413,1.0117648213763986
1.9230155237270203,1.4735866387326664,2.335393445814323,1.6250295903013223,2.7143366688185795,2.699110659960163,1.8453965172737397,1.0289620022434434
1.761757261972415,1.8180792694846406,2.5299138517730357,2.2862740192253717,2.5586047317107528,2.0506329302091255,1.6581634964523002,1.0732283656009796
2.867846013178328,2.1454018386329414,1.0605679706340903,1.7087409599105616,2.992266077649151,2.282846048718005,1.8968201713785955,1.0190478589913115
2.385994875327525,2.6376270011268548,2.46040711788382,2.5457691884585265,2.2769398050924785,1.0167303805241714,2.3133380029130417,1.2104839019288278
1.1738599491650255,1.7237638882272008,1.957790693311768,1.4123291717193978,2.63504683332272,2.9507523281275048,1.6156984233530856,1.0155261968598701
2.999856826458992,2.3536991369432005,2.2335726011530843,1.9806657110367998,1.784955039721704,1.6899223090342654,2.0770736794385796,1.2767342832489608
2.131835360324356,1.576833765969081,1.1009035900422675,1.9848641562558929,2.628549127243888,1.2211154848900065,1.418908344890252,1.0998042775600052
2.764495471138912,2.6224506767521616,1.659405021876565,2.6808569589412627,2.252390800817663,2.670509379740702,2.9013760983180714,1.0079973351116995
2.325453720972443,2.3930100411459936,2.512320648020326,2.1100455763191532,2.8340415303749755,2.291496200680836,1.9171103316605744,1.065784572111209
2.258437539104363,1.6162129361272488,2.2903752536153434,2.054265833559393,1.7346086275247137,1.58984727191844,1.1801921512630174,1.9630313636246126
2.8003634864497613,2.313423000504099,1.295819503490006,1.2235360237049235,1.3086133251053216,1.9953802492154118,2.9612786847988133,1.046409035168457
2.542138324389119,1.197799279602239,2.77924001469239,2.539621588917636,1.3394003487486792,1.3158253556868051,1.1740038033011142,2.9966564518668286
2.769375748062413,1.2688365215563162,1.8244937805623416,1.2895941807504332,2.781456155406544,2.884763129206652,1.4756002813170908,1.0791596096755836
1.1542123807938116,1.3075377025195518,1.3181364506807676,1.998616440776252,1.3807662512372134,2.3212852743621992,2.7794333692698134,1.0024669433297555
1.1154070145637585,2.6561958071256453,1.624042625777784,2.1988867418897518,1.3699085845025123,1.3844113735300387,1.827360090716765,1.0943806909535156
1.6716950016413954,2.4414971851121816,1.2598893559150806,2.2586260273798544,1.5730742918251472,2.947617834099355,1.227347983503012,1.0938767426056537
2.7596770690178674,1.4358232316482409,2.4719530608689064,2.4861531202457883,1.0917731339103498,2.963903354862369,2.142783582990148,1.1151220491226062
2.107063443290107,2.883644713949763,2.878885546356073,1.3824333955011114,1.5749088777046725,2.3280563981215234,2.434816393304474,1.1510492179423193
2.024910343104418,1.9510941657662977,1.5368349816886973,2.4571620754332724,1.1178476072475092,2.528022602149508,1.8017499995128237,1.0875388230080099
1.636304221030666,2.852235089421283,1.4388999780767868,1.6633336821954066,1.7314154013921876,2.757364892567393,2.4286956593134326,1.0119160404720717
1.915036857249061,1.1414813605088998,1.8405260969079031,2.6119064978512645,1.0903730488491115,1.3926159112244958,2.366994691882711,1.0723943977038162
1.566781903397013,1.0895613494669474,2.2255315176312265,2.6830930863000897,1.9369636840775508,1.2623958795657606,1.044129678102653,1.545821596672682
1.1268020090474202,2.7112598192408246,1.6227127517363025,2.637216729356548,1.1424160859647017,2.595718271991008,2.9655351770225717,1.0050412064666532
1.4207926091380594,2.9998002823846486,1.296685013601142,2.1805221441980747,2.9841331178253836,2.1059692056337207,2.4428167424284437,1.0033146605447452
2.8296394154003677,1.9856257577693182,2.0891448793918985,1.3557702115416075,2.3923038906087832,2.2492147362319956,2.399637339423224,1.0519629878881294
1.593240436376231,1.4445024558101396,2.2062100732677177,2.499727791301951,1.827905095792929,2.839163617046779,1.1034967206775237,1.1651404762523863
2.6095019481341435,1.1418808474754951,1.7414880371746981,2.7212933201870504,2.3419819044437347,2.455009771531933,2.7827924954939967,1.0043617297575302
1.7156365908278135,1.7179095474853248,2.112277496779829,1.9904115237351643,2.978637518150226,1.3713261061952475,2.1038941514527334,1.0340923506046278
2.8912340058359707,2.3406505976524032,2.134802644752441,1.4448606524440617,1.2298439179291616,2.9082886018544993,1.1459568846070136,2.568008921871085
1.5746718801743123,1.6679087846698315,1.6348470410020062,1.5436680714088309,2.1459650359310496,2.00127365690434,2.2591960908723503,1.0147937480660143
2.0828986087344266,2.7086669277284496,2.537643819737524,2.700737225728612,2.118913311494957,1.4992428580850967,1.6568837672983525,1.3178852646868078
2.856724989269664,1.8428871659502957,1.9501430365926502,2.1200835519543144,2.866566206220747,1.5530483217622775,1.568901189704859,1.203882894783787
2.207325364540866,2.6584859959830336,2.285468711093482,1.1200018809197867,1.2212181685564218,1.021145765184156,2.6245338685000497,1.6240113139827619
2.388158466479756,2.113334113022652,1.2249532778997552,2.01081098621818,2.0204703804290824,2.6424122703566875,1.804893731762779,1.029304368843087
1.720014357432282,2.777644306892079,2.0112195336606624,2.3035666236098145,2.229031770977122,1.931870737338396,1.8285824794804313,1.067333553418096
1.6118622366259383,1.7173973536866385,2.535589533548392,1.2995630180100013,1.3545022341666182,1.335365843770299,1.3768427594422026,2.180615842029113
1.9377231799633214,1.9414603006602684,1.2164304965685329,1.7614849566637008,2.8432714300409705,2.232453015466726,2.253053235282634,1.005880921486715
1.3289107111855627,1.607388984001311,1.1996679463418818,1.5185663368169529,2.6820635870058913,2.400273279531122,2.987014420400224,1.0008151080329246
2.205997539676475,2.5507112209255673,2.680682365083737,2.4038398171497377,1.261642698891365,2.7891995580650333,1.5431877098737345,1.43414357525277
2.515378271001479,2.3507448553798707,1.9980848857412723,1.7417231049975488,1.0481244532437728,2.109150379384123,1.9958194555755666,1.370896293497419
