m,E,U,L,r,target
2.904923368206255,8.703628755280695,2.320904663868113,1.2203001146361279,1.1991047689816603,2.066806357405353
1.8739597467994826,11.254610230541926,2.4547768528158183,1.7438026381147336,1.1523030915157506,2.9562746303136382
2.4105545847320045,11.130440819762457,2.9217181974852586,1.872677477482686,1.5843881081870832,2.5632463077636314
2.740336537690904,10.05541853726332,2.8616666805485225,2.5833037002430452,1.5487932728998184,2.2090260739057945
1.449861272490132,8.239766897382372,2.6272800115757127,2.963840098402245,1.9630076095535516,2.5802410931827726
2.6789398845709735,10.215223344761867,2.7921897793196093,1.0596604270537748,2.095572256702183,2.3465166814946112
2.7064482036917545,8.567826586231835,2.3660769081640685,2.5142683605997584,1.9716661130036213,2.0882867283588267
2.5507015487337723,8.611919658148036,1.4458483492108454,2.6934760047634683,1.9269217783513748,2.306205981546726
2.2780736703310467,10.900844012961151,1.4479708776404443,2.5954681355629448,2.832167877705323,2.8525735890809027
1.8389174090846887,8.405949790166272,1.8203526245305814,2.2045967249580385,2.57464194557228,2.6354603983652827
2.835860651293613,10.576238388867534,2.3931613896550012,2.3687015006903387,1.5522989871084127,2.341283287765644
2.1354735488685144,10.681011169038252,2.9518718925238128,1.4544621337333354,2.5059613233352747,2.6767398039539656
2.5883253945316893,8.521624543047151,2.748947062210762,2.2609432404171956,1.2120592160406558,1.985235420106587
2.7099616111946636,9.956705219673339,1.685291082413369,2.533614194392453,1.8616522661500021,2.4191411497786253
1.5532469207434976,11.568827791476826,1.4963251451578297,1.7175079721155215,1.0707264870012512,3.4500887738711556
2.904198428786927,10.104191731017112,1.184145828991011,1.11694132545995,2.3751417841510825,2.4731847447545032
2.136754529384044,11.782089453379008,1.5181658075098523,1.019344343396816,2.971838820525991,3.0953600266791508
1.3069136486432111,9.884900956204188,1.9862674673539307,1.0146315588206658,2.7118857019892735,3.464896031685173
2.5454956301461267,8.824823414477947,2.6902570848419827,2.157261692284208,1.3502379073750093,2.103803527671516
1.2961095102686258,10.271910120595887,2.0069266166905635,2.7448629407161023,2.626135370044908,3.4789670308285388
2.4732778267640843,11.602341827246843,2.2127518929681553,1.4631843841440189,2.7174679852375743,2.746895832561271
1.066387989294169,8.043296171305292,2.9187160640402925,2.9970036941486367,1.7228005545068596,2.6362700661492418
2.9577300375479005,8.521719789483877,1.9307275114688578,1.5181253876240886,2.5492592378587235,2.1014881022027376
1.0823000501599802,11.695647479627004,2.9043472105036896,2.9732188443741583,1.5021660301899356,3.591817738607408
1.16286652696594,11.062940557820312,1.756151007755549,2.477588008003801,1.4569684829970528,3.7240017420996607
1.9111770884387849,9.040194466261639,2.594182254970419,2.854606341134293,2.254845131746139,2.5113349871128983
