epsilon,E,L,m,Z1,Z2,q,target
1.7255024153178833,2.7044636998038616,2.367470388683752,1.137172436171995,2.00669457436436,1.2387185503799325,2.9959381802296554,1.0767812370158507
1.6843030279639675,2.904016638052881,1.2323009205654165,1.9205942373962765,2.7778948005254707,1.7464462247811394,1.0323905151174118,1.2195274854329505
2.3256095590083246,1.0665347114737826,2.160217809227776,2.9125605186142867,1.6853508205056262,1.8282590877547562,1.6607513583638738,1.1206836023475581
1.1568068873103057,1.8229013210764795,1.786664240675437,1.3213851242020225,1.7735581148438528,1.1905079553218236,1.2911967806126206,1.3968334851180697
2.7401367531460856,2.3248447719094134,1.3034449888866018,2.4507235792769455,1.1129763292767645,1.7510892885616265,2.0692206015403656,1.1608493854696722
1.2866434986054993,2.377899738675234,2.181572961728498,1.8457748985610571,2.7821741204560335,1.0987386072267062,1.3487595256909513,1.2870335870663476
2.4002739174664427,2.1446445600287944,1.6503720927036034,1.329345746733937,1.040555543022789,1.1433294488145682,2.726190164346339,1.2836049745911213
1.0160483279186059,2.2041151131695917,1.4624825639074353,1.0083092062407588,2.066215672032741,1.7775134152262129,1.9064142079618553,1.0267324096269972
2.70751173224905,1.8560678190923776,1.7602828814162057,1.80955014517016,1.0650970688539334,2.377455204761446,2.5071784374666706,1.0880781238301944
2.6857758617106375,1.111311450717973,1.9485627902868115,1.8340990355541698,2.066661276754867,2.5444821799819723,2.8083616838902556,1.0096017799869705
2.0838127279361065,2.6577145435424474,1.0263834609887037,1.620005695416456,1.6678610837020778,1.2215101204154204,1.263853031241453,1.5547631651019709
1.646497984406288,1.2037830989167373,1.0510144329569968,1.4161787756949493,2.4495821146048926,2.0330651927172383,2.1138334307780995,1.0051272950600265
2.3909200200724765,2.824727900430241,1.4551720538288486,1.7555067215149263,2.867517128482807,2.344724947635311,1.1374360938866441,1.2307819859177245
1.940301803811901,2.203043070364844,2.200332800263534,1.6351707567061793,2.0306305137538687,2.146709040022873,1.0205946932056669,1.8390841505750286
2.1954274881670557,2.603724107054159,1.8432647088306358,2.68303889681728,2.078802476091653,1.5725389776747825,2.9698335470521857,1.0189378610828317
2.3038175835500163,1.0825866061288376,1.171669552194147,1.6464543626704526,2.8423594774726126,2.8908032981609972,1.529514768758551,1.0128831204598643
1.7083206392331747,2.957925913191198,1.1496713626573707,2.652451308971912,2.3256595258593356,2.55731061860467,1.2913879739521164,1.0428096797494313
2.461599199196478,2.355431585432498,1.4240091803081527,2.1120149101964936,2.892705606066647,2.3650780983483015,2.7015033407883497,1.0054818047565155
1.8300874583368514,2.054126121367931,2.4332197034131346,2.03300856513119,1.5242743904703602,1.8694688336555416,1.9828002509021643,1.1485907914174869
1.107689088719541,2.67473379405362,2.6007837076486546,1.244184993819327,2.513309755923273,1.8583815723779038,1.9958152035837045,1.050282063820499
2.0256412223424003,2.0478456370589306,2.9743290407282545,2.3311205598040914,1.4876610129447376,1.8100425584251478,2.318293607027439,1.1421529238258805
2.5475408937813624,2.2430819899164876,1.1335133811013938,2.198190420985342,1.7422533361272134,2.544420319419615,2.701286353262785,1.008099113801837
2.2599743166771717,2.184129078661782,1.7514753860283165,2.660046402844693,1.854413298512063,2.3704097866280143,1.0348406551662594,1.4700777416807518
2.015104853255127,2.0166922509465905,2.0221662125490654,1.872108038348994,2.315143458474778,2.7274297109037677,2.1720859428768557,1.019955151014008
1.709702077157448,1.842269010756685,2.523081126271535,2.030206757493534,2.5636056957994358,1.165058631865583,2.183520414973264,1.0800648972295217
2.3473466633759577,2.3657295175505757,1.0067465737666725,1.5252335798345686,1.975148261193214,2.3725012936707093,1.1802689997194824,1.185981880517828
2.730842143206141,1.7184155557169658,1.6342916318173308,1.9133818004935383,1.1356075677096038,1.0344604615225226,1.6036242834666938,2.218164165997323
2.8201477708709346,2.2586523184377825,2.161548339327152,2.690007305514532,2.330802558779011,1.668135540496543,2.6298871157154142,1.0422539903563752
2.3760271282916507,2.7209509848149818,1.5463972435207822,2.592539149140921,1.702456457807941,2.403102620548577,2.7960466727214692,1.0137559047810867
1.8251152873521677,2.2495031957479465,2.694494813623173,1.9854871883650467,2.4675733024144897,1.2188995043112139,1.3039235868911954,1.7594206861106236
2.0106818636753125,1.2257799213171223,2.2352535071288995,1.0495144010426702,1.5338726104249416,1.9056380381193836,1.1953364711311008,1.924849021323981
2.2338824336302374,2.922139708422719,2.745515671569496,1.9377415806026024,1.5930032316029523,2.42722787110626,1.6168761558571494,1.4526887603837346
2.7088717223477548,2.040949156285622,1.6981591062731114,1.2732222482149749,2.9200256156665207,1.6855970644178064,1.2317611988631008,1.488784450096712
1.118259316739622,1.7031058028332948,2.748805489799539,1.8178017024010609,2.064621232397031,1.6079317578811518,2.0947894328322922,1.0408792921008467
1.0918588387502155,1.3355930534174365,2.8383580175876313,2.3402016861877235,1.3330416736789572,2.198568700594776,1.3949243925777848,1.1563267893032494
1.6879728092600432,2.7913157960088397,2.8918271385940058,2.3847829324528815,2.7754270301447805,1.5365133432617388,1.4470146661215302,1.3036820335931556
2.5361594988628253,1.4310374686572493,1.5616475371798233,2.4923338555173324,1.3899465620299478,1.6421843906172533,1.823881930313713,1.1456178603548242
1.2468364345346987,2.5790723646864246,1.778051878451001,1.1547863395167868,2.9424456640908496,1.3252562960923997,1.7388736587346807,1.076062486756331
1.0277938481970104,2.4004787645759853,2.0276968195343352,1.7715966777828327,2.347546423413674,2.6399372178973,1.7242100839459389,1.0171892971965713
1.4461170735956013,1.3482615769803306,2.4465429200719004,1.0890958809396294,2.6951881709027123,1.7123761555473758,2.6723352858158504,1.0141649575007312
1.3894657861063964,1.1459151826499392,1.1005567587234948,1.450411238443539,1.1302690346826347,1.990387845630585,2.3016227005268868,1.0129243542485196
1.0216651294768526,2.4484945330723056,2.8366965213605817,1.4981429421395016,2.707407819682772,2.459008575189987,1.1835749892221743,1.1470186393693043
2.884403688385703,2.608846256814414,2.975539067202093,2.3046214475418623,1.0986885175592915,1.344605351223696,1.5508656008631734,3.7695506848873843
2.3565547699026554,2.8995309452596576,2.2811243279733966,1.501420177039178,2.827044015629669,1.6473778399781753,2.612871904713388,1.053757041849921
2.657332125241149,1.5145740975520694,2.5839719182134075,2.0885936601672377,1.809007313973593,1.1910645463739657,2.0794007280086806,1.3370957706114888
2.450724216277317,1.3553402085677189,2.257389450806804,2.3476285912804906,1.2599191086938641,2.6245087442673105,2.61234988492478,1.0341167899717025
1.8007482779639878,2.6572630151605026,1.1757501046489693,1.1813599935169323,1.219120912532352,1.2638245867122795,2.346235664050328,1.1315152780137732
1.1738149177029458,1.7024681101852226,1.997902631540623,2.1975084943580274,1.7367146530445075,1.385381300870089,2.2973274529764356,1.0260844434055403
1.9271871453623086,1.1149420843196174,1.1686674539939632,1.7636183133706178,1.0274032811593068,2.3032006977698494,1.3235337519401387,1.1718655749085098
1.0807356918807072,1.7249513279424757,2.3351128946313864,1.3765977016707247,1.1105159304142955,1.370143428708582,1.106342917331423,2.36678114262571
1.6826523426750188,1.2447104983630413,2.3698143534358556,1.7496854409482416,1.0973027743236443,1.4460876508542297,2.5969242671593467,1.0943261620802154
1.7514136361953776,1.8880212133630199,2.623697891260873,1.816420037525254,1.718185656731001,1.9857582547637431,2.375573778995755,1.057545222571187
1.7167657047633194,1.361089524736158,1.794032993084191,1.5671650637650225,1.2564199302016608,2.5006430569133524,1.2968357381397098,1.2610166277585355
2.535942131973792,2.5064578871665644,1.3480408726640323,1.0029304537279988,2.902794258587419,1.8119477947531626,2.283991428604196,1.0380700570667163
1.5002513658329923,1.746380673327369,1.6688095368424885,2.973866040924181,2.2600477224344164,1.7206286198745449,1.4768695516308712,1.0499199525818939
1.403435572743629,1.8067617270170753,2.8618199837034224,2.815791364079908,1.4296290510952467,1.4022247033193143,1.226056321253167,1.8109922458416456
2.0777876857383006,1.4067619234124005,2.9665973254886406,1.460551048627673,2.4958290193052997,1.5852231622852393,2.17678592908667,1.0992031720131246
1.3015216751520322,1.3323008598022759,2.9994095420008593,1.71007788635282,1.2157411554220239,1.693138975231703,1.0389182865188564,2.410515169366583
2.7274221062145285,1.0215395790272936,2.1246661879385647,2.327241046374472,2.499680391848215,2.427494573223196,1.7350043958354056,1.0432436138357277
1.1028175340180355,1.6766034256349032,1.8792245394621387,2.4238394335447557,1.3734522984989954,2.417721855592424,1.5425228985325121,1.0465094397117953
2.167411488838279,1.333695704609016,1.7524417206010825,1.3739596248873844,1.7823446831705252,1.4256458250945392,1.432244240220597,1.4250890983570004
1.8794629674024563,1.3600087350261512,1.5703500808087856,1.5914305755600426,2.5532610719428215,1.4560581204047918,2.2568669377824113,1.0205495966606313
2.972102302467379,1.729689647142737,1.0054528407618661,2.9484896125760423,1.3242220496471333,2.848106387499114,2.7292172527617984,1.006616049404202
1.146841856468591,1.335207572623111,2.1243224472498747,1.0157383022137814,1.949000265126351,1.4438457150882513,1.120995144087326,1.499285287238208
2.6152283737327617,2.8938669680941684,2.1982294108396747,2.452679265424347,2.2948482650795485,1.300756460589006,1.4360377053116304,1.7487468587038162
2.2917788848237786,2.4958487145051267,2.031323984835642,1.8210222804149896,2.9950640748924204,2.018475056608544,2.678852136742811,1.0156590625033173
1.6686790392122657,2.5504846733936954,2.157470439399778,2.242845807714402,1.622671143455198,2.576691749206528,1.846130937399843,1.0701223794292685
1.5458919489265184,1.015612790040547,1.7333621289622734,1.4727225636302201,1.457002034576502,1.202679585252174,1.0050040925651165,2.039956563966591
2.858247250287971,2.8701515056087,1.8967594875854252,2.035168929185172,1.7409537857561874,1.2911384325486288,2.9304221938697603,1.1056643408909193
1.578371406373454,2.110765316451648,2.784889136763902,2.8255977380930393,2.597988284537764,2.98293180042195,1.6075278902856724,1.0353636222626559
2.1023906831846717,2.6712684200406245,1.3225713789720253,1.197543350171577,2.7316415952331923,2.682115840757165,1.7847321813928183,1.031180150687592
1.121695545405386,2.335679741849435,2.243858139990463,2.01209720461057,1.788189587218657,2.4061019527684886,1.5606001291190568,1.0648666366287085
2.7740195319665766,1.6908988790380017,2.159497135096675,2.1941052741073386,2.0553838024323667,1.918759339195799,2.8296621516313865,1.0273601418009384
2.5672615159272834,1.0915278397021793,1.3767440629687848,1.6879652418091373,1.8674073762767138,1.9335614176740976,1.6821197407966755,1.0746087958696289
1.13546562122251,1.2371423679410762,1.302074819970569,1.7234435963902348,1.7185161025972489,1.2278243458064635,1.7251942202880888,1.0390228247099362
1.7374871239951295,2.087536355778798,1.3832133257713357,2.945591199150427,2.1015687003459,1.1925623207579064,2.7705156306449377,1.0110004172381035
1.9375885617961397,2.257916448606573,1.4082630394839115,2.7964520755741473,2.8415617450267803,2.5689614791331796,1.3786445765284214,1.030755645981062
1.0680213435312211,2.316660065815809,2.6910054990131242,1.0740479189908403,1.7447139475249256,1.9867736061443997,1.2659151525157373,1.4679121891546114
1.8899656473158137,1.9345733934936296,1.6445333419492478,2.0234793211537876,2.0645324210527214,2.049174773145981,1.694945937082041,1.0606838922772635
2.9749731747894,2.793511752603555,2.6013564660187116,2.726044433904958,1.8795213949639333,2.046388011439125,1.4546991080857614,1.6890507503673422
2.6500005492160232,2.3745146727774804,2.452643689443987,2.1607387738990056,2.721449674589843,1.5353678554169137,1.2507595915843477,1.7812675638512312
1.2050745367827995,1.7600288190991324,1.2726779710012948,2.9200734842461165,2.3096108826260693,1.9382037966242425,2.5655458308752617,1.0016317028541677
1.2873310626529888,1.6243626748759608,2.2328612702164463,1.3022064626352585,2.093067250054099,2.9968200433369185,1.298445807689442,1.0882610975273252
2.7229433712702216,1.4549628469857365,1.3979877480710774,1.8078395477014642,1.674922563381294,1.5089599011190078,2.6154561255381563,1.038283077840599
2.9587730390491336,2.8789666718450952,1.4500497967027326,1.0254089665929635,1.0169930652452277,2.4674200495673424,1.0103347895745032,4.093096031782209
2.2358160891836327,1.0722362088463069,1.798286994242037,1.973830920980719,2.2922734835267433,2.6961328311257784,1.3749546623347242,1.062382464331882
1.9880646213969824,1.0437509040008048,2.2241195751170597,2.7847795105554827,1.4394671561228514,1.3684630149590833,1.9268955091690128,1.1287050272834096
1.0997367146544366,2.4399966301331952,1.7797183361390456,1.3650814245979523,1.629522532289444,1.651347317550656,1.3697513789403377,1.2398586949395287
2.448182497347648,2.51805050428617,2.6052752742080463,2.0666780362033172,2.239133809985943,2.1731551478705846,2.634780870304897,1.0425331684097932
1.1225309059483473,2.486623335261454,2.3970121350852414,2.7282306534251353,1.0939495828734178,2.7534189884605826,2.268306310772714,1.0271064975392366
2.123309788335475,2.792758989677059,2.7639587928252354,1.0665049411002403,1.977289872080213,2.7770509823440896,2.1130255787431684,1.1402183777378463
1.1243402710744985,2.2463772970158296,2.714803929257345,2.2527314035770134,1.8950573530359918,2.3028530151579973,2.3117875450283227,1.016936153097479
1.3704653953847648,1.2065990357570093,1.433041716329096,1.6628706345194157,2.8003007638372184,1.6378750607393848,2.3522370076496495,1.0043363318368583
1.3262595520846265,2.301921066022103,1.6940138113283714,2.1811437980354667,2.032138529216891,2.00629650582543,2.4141448262345926,1.0093910137738298
2.7596314611088513,2.415831560322277,2.7377218794028906,2.375445431057401,2.3421054486127955,1.3953189952494058,2.307113460613844,1.1763096242113413
1.42250560668938,1.588089032896644,1.9144693981195144,2.3681034850774045,1.5694330791488353,1.2098261241745094,2.8786253280421397,1.019893374672468
1.0415358022535905,2.079666983800932,1.920877980711511,2.6788875323192123,2.1257569791092754,1.869367401874279,1.9470476169801778,1.0135994499213783
1.8902100744878232,1.965971752166834,2.6693393564268004,2.2915748813778727,1.568492625394831,1.812711313984097,2.1823613789711334,1.1127518137291716
2.650324508951984,2.523370663718792,2.0592853101237236,1.810833378790627,2.8910252010356348,2.755422531979129,2.5803910868188016,1.0146467911211647
1.8863212426244285,1.2103380448651198,1.713524188267573,1.0578083969816299,1.138389022471846,2.0753274602982357,1.1580356735731443,1.8389577863028281
1.500565969089755,2.8699346851075367,2.883454279798558,1.1374725837079784,1.327773742434898,1.274508774036068,2.3408010433667235,1.448712158885753
1.5905538856141408,1.216378057859504,1.049475536565193,2.326836110972981,1.733970808382915,2.815632062819514,2.971318194424805,1.0007836859060548
1.549124862414864,2.5295612476421563,2.336204160987836,1.434337592719056,2.5861757532126104,1.8391228488852442,1.9991834396932946,1.0619985813955393
1.019668762220348,2.3436304045040237,1.6928969530994407,1.2031450444315557,2.6106878047450275,2.8564001189536152,2.7736516975048024,1.001762025961365
